broker,direction,district,fecha_publicacion,idCliente,lat,lon,portal,supTotal,supUtil,tipo,title,url,valor,vivienda
Jose Diaz Leon,Sazié 2032,santiago,10-12-2019,5191609,-33.4501991,-70.663826,Portal Inmobiliario,45,45,arriendo,Sazié 2032,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5191609-sazie-2032-uda,350000,departamento
Assetplan Asesores De Inversión S.a.,Vicuña Mackenna 327,santiago,09-12-2019,5270066,-33.445816,-70.6330109,Portal Inmobiliario,30,30,arriendo,Vicuña Mackenna 327,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5270066-vicuna-mackenna-327-uda,285000,departamento
T Y C Gestión Inmobiliaria,Arturo Prat 1312 - Departamento 1121,santiago,11-12-2019,5274719,-33.4624443,-70.6465454,Portal Inmobiliario,40,40,arriendo,Arturo Prat 1312 - Departamento 1121,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5274719-arturo-prat-1312-departamento-1121-uda,350000,departamento
Partners Inmobiliarios,Martínez De Rozas 2164,santiago,11-12-2019,5112178,-33.4337234,-70.6671219,Portal Inmobiliario,46,46,arriendo,Martínez De Rozas 2164,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5112178-martinez-de-rozas-2164-uda,350000,departamento
Ravello Propiedades,San Diego / Pedro Lagos - Departamento Estudio,santiago,10-12-2019,5272119,-33.4663429,-70.6488876,Portal Inmobiliario,25,25,arriendo,San Diego / Pedro Lagos - Departamento Estudio,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5272119-san-diegopedro-lagos-departamento-estudio-uda,250000,departamento
Alejandro Jaime V. & Asociados,Paseo Barrio Lastarria,santiago,09-12-2019,5242884,-33.4393997,-70.6414032,Portal Inmobiliario,36,36,arriendo,Paseo Barrio Lastarria,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5242884-paseo-barrio-lastarria-uda,370000,departamento
Málaga Propiedades,Departamento Ubicado En Metro Bellas Artes.,santiago,10-12-2019,5273451,-33.4357185,-70.6465759,Portal Inmobiliario,60,60,arriendo,Departamento Ubicado En Metro Bellas Artes.,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5273451-departamento-ubicado-en-metro-bellas-artes-uda,450000,departamento
Habitachile,Club Hípico 1240,santiago,12-12-2019,5222639,-33.4628716,-70.6645279,Portal Inmobiliario,59,58,arriendo,Club Hípico 1240,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5222639-club-hipico-1240-uda,350000,departamento
Limb Lands & Properties,General Jofré / Santa Isabel,santiago,10-12-2019,5273493,-33.444416,-70.634903,Portal Inmobiliario,63,60,arriendo,General Jofré / Santa Isabel,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5273493-general-jofre-santa-isabel-uda,450000,departamento
Prodesco,García Reyes 71,santiago,13-12-2019,5228014,-33.445343,-70.6709747,Portal Inmobiliario,45,45,arriendo,García Reyes 71,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5228014-garcia-reyes-71-uda,350000,departamento
Agrega Valor Inmobiliario,General Mackenna 1555 - Departamento 1608,santiago,09-12-2019,5270413,-33.4332275,-70.659729,Portal Inmobiliario,54,51,arriendo,General Mackenna 1555 - Departamento 1608,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5270413-general-mackenna-1555-departamento-1608-uda,450000,departamento
Abbo Limitada,General Mackenna 1555,santiago,13-12-2019,5284900,-33.4332275,-70.659729,Portal Inmobiliario,52,52,arriendo,General Mackenna 1555,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5284900-general-mackenna-1555-uda,450000,departamento
Assetplan Asesores De Inversión S.a.,Vicuña Mackenna 2004,santiago,11-12-2019,5274402,-33.4703941,-70.6259918,Portal Inmobiliario,36,33,arriendo,Vicuña Mackenna 2004,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5274402-vicuna-mackenna-2004-uda,345000,departamento
Re/max Gold,Monjitas-metros Bellas Artes Y Plaza De,santiago,13-12-2019,5283072,-33.4370995,-70.6476974,Portal Inmobiliario,36,34,arriendo,Monjitas-metros Bellas Artes Y Plaza De,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5283072-monjitasmetros-bellas-artes-y-plaza-de-uda,300000,departamento
Portilla Propiedades,Huerfanos / Morande,santiago,13-12-2019,5261527,-33.4398994,-70.6536484,Portal Inmobiliario,52,52,arriendo,Huerfanos / Morande,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5261527-huerfanos-morande-uda,350000,departamento
